CO,NO2,O3,SO2,PM2.5,PM10,city,overall_aqi
297.07,10.03,61.51,1.91,3.48,4.54,Cicero,57
263.69,16.28,52.21,0.35,4.46,15.84,Rancho Cucamonga,44
216.96,0.01,21.1,9.18,3.08,3.13,New Britain,17
988.01,59.63,0.0,2.86,39.36,46.08,Lynn,97
540.73,51.41,0.76,1.52,14.8,30.44,Chino Hills,64
720.98,50.04,0.0,1.13,21.97,28.0,Pawtucket,63
340.46,17.99,32.9,0.46,7.18,15.16,Tempe,27
270.37,2.04,72.24,0.53,1.9,2.05,Canton,91
400.54,34.96,41.13,0.78,6.46,12.22,Perris,43
357.15,12.34,31.11,1.1,5.57,6.38,Newport News,26
687.6,71.97,0.41,2.86,22.08,42.69,Mission Viejo,89
243.66,3.21,76.53,0.16,5.76,19.74,Thousand Oaks,103
240.33,5.06,33.62,3.25,1.0,1.29,Johns Creek,28
243.66,2.1,82.25,0.25,7.24,25.23,Yuma,118
373.84,35.3,13.59,2.53,8.4,16.77,Deerfield Beach,44
300.41,13.02,18.6,0.69,1.86,2.53,Tacoma,16
230.31,2.96,47.92,0.75,1.22,1.33,Charlotte,40
320.44,11.14,70.1,0.15,5.92,19.65,Indio,84
340.46,21.76,18.24,0.51,7.87,15.7,Gilbert,27
514.03,41.81,0.75,0.57,10.87,13.65,Stamford,52
660.9,69.92,0.19,4.11,22.98,41.77,Las Vegas,87
363.83,12.17,31.11,0.75,5.63,6.47,Hampton,26
390.53,31.19,20.74,0.64,10.26,13.69,Centennial,38
236.99,3.86,44.35,0.03,5.93,15.87,Camarillo,37
233.65,5.14,61.51,0.59,2.67,3.37,Fort Collins,57
674.25,28.79,0.0,1.04,32.01,42.52,Milpitas,83
393.87,14.4,18.77,0.43,12.22,14.08,Maple Grove,39
1255.04,124.75,0.0,7.51,47.22,77.19,Inglewood,125
263.69,16.28,52.21,0.35,4.46,15.84,Fontana,44
660.9,69.92,0.19,4.11,22.98,41.77,Paradise,87
674.25,41.81,0.0,0.43,17.81,20.35,New Haven,54
240.33,9.25,45.78,0.78,3.01,5.44,Orlando,38
1054.76,69.92,0.0,9.54,42.43,58.21,East Orange,104
330.45,11.48,33.98,1.0,3.22,3.3,Antioch,28
787.74,38.73,0.0,1.12,24.16,29.98,Albany,67
297.07,3.04,61.51,0.22,1.27,1.59,North Little Rock,57
263.69,6.94,69.38,0.2,4.17,12.05,Hemet,82
223.64,2.96,73.67,1.85,3.15,6.62,Bethlehem,95
714.3,79.51,0.15,3.31,31.68,38.21,West Valley City,99
267.03,2.23,69.38,0.24,4.15,4.51,Waterloo,82
380.52,18.85,0.89,0.31,11.12,15.48,Turlock,36
340.46,15.25,29.33,0.16,3.19,4.76,Spokane Valley,24
313.76,8.4,23.25,0.72,8.28,9.59,Orange,26
353.81,12.0,33.26,0.97,5.31,6.37,Norfolk,28
253.68,2.55,47.21,0.1,6.74,8.99,San Angelo,40
216.96,1.86,50.78,0.53,1.38,1.75,Cary,43
554.09,45.24,0.04,1.57,13.14,26.0,New Rochelle,56
373.84,35.3,13.59,2.53,8.4,16.77,Pompano Beach,44
208.62,0.31,67.23,0.26,2.26,6.46,Saint George,75
397.21,17.99,0.26,0.14,4.69,5.38,Pasco,22
333.79,7.45,41.13,1.36,17.13,17.92,Fort Smith,53
373.84,24.33,25.03,4.89,7.39,8.45,Dearborn,30
193.6,1.37,35.41,0.01,3.66,5.71,Santa Barbara,30
230.31,6.51,36.48,0.05,5.24,10.15,San Buenaventura,30
393.87,12.68,22.71,0.66,12.69,13.08,Peoria,41
250.34,8.57,22.89,0.2,4.28,10.05,Homestead,19
527.38,48.67,1.12,1.34,11.97,20.0,Chula Vista,60
350.48,17.14,16.81,0.3,7.56,10.39,Vallejo,24
400.54,18.68,23.25,2.68,12.13,13.74,Racine,39
247.0,5.27,21.28,0.6,1.16,1.27,Asheville,18
727.65,52.09,0.0,2.89,29.72,42.53,Redwood City,78
353.81,25.71,26.46,29.8,3.82,5.41,Saint Petersburg,43
327.11,12.68,26.11,0.21,8.44,10.01,Santa Rosa,27
520.71,44.55,20.39,0.93,25.08,28.78,Orem,69
303.75,5.57,58.65,4.59,9.97,10.75,Omaha,49
236.99,3.68,46.49,0.21,3.49,7.63,Lehigh Acres,39
387.19,21.59,15.02,0.23,16.71,21.87,Salinas,52
277.04,6.94,49.35,0.16,3.93,4.81,San Antonio,41
447.27,54.84,3.71,1.07,12.39,33.05,Glendale,68
300.41,10.2,50.07,2.5,3.58,4.31,Sterling Heights,42
310.42,4.07,56.51,0.41,2.46,2.84,College Station,47
280.38,1.37,40.41,0.43,1.36,1.49,Odessa,34
383.85,29.82,19.13,1.61,8.41,17.84,Hialeah,37
196.93,0.23,57.22,0.16,1.74,4.79,Bayamón,48
300.41,12.68,43.99,0.07,6.42,20.01,Las Cruces,37
854.49,61.01,0.0,10.13,29.32,44.69,Bk,77
290.39,19.88,37.19,0.58,9.17,11.56,Ogden,31
347.14,19.19,6.88,0.11,6.61,8.75,Vacaville,23
257.02,7.45,79.39,0.38,2.7,4.23,Broomfield,110
200.27,0.62,63.66,0.51,1.74,6.21,Carmichael,64
377.18,16.28,25.39,0.77,5.06,5.34,Cincinnati,21
230.31,1.5,75.1,0.15,1.28,4.35,Billings,100
327.11,10.11,32.54,0.33,1.63,2.61,Kirkland,27
270.37,3.68,60.08,0.16,3.5,4.46,Austin,53
674.25,28.79,0.0,1.04,32.01,42.52,Fremont,83
293.73,3.68,60.8,0.62,2.36,3.06,Sugar Land,55
393.87,15.08,22.71,1.55,13.88,15.58,Rockford,45
427.25,17.65,9.66,0.43,13.45,17.46,Brooklyn Park,43
727.65,52.09,0.0,2.89,29.72,42.53,San Mateo,78
1081.47,108.3,0.0,3.4,36.72,56.57,Costa Mesa,116
514.03,41.81,0.75,0.57,10.87,13.65,Norwalk,52
1922.61,160.4,0.0,21.22,95.78,124.43,Long Beach,167
300.41,10.2,50.07,2.5,3.58,4.31,Warren,42
327.11,14.4,52.21,2.03,3.87,5.11,Pearland,44
223.64,1.52,57.94,0.22,4.6,5.64,Columbia,49
260.35,14.05,46.49,0.24,4.92,16.89,Ontario,39
270.37,3.34,45.78,0.09,7.7,9.69,Abilene,38
307.08,12.34,57.22,3.87,4.47,5.63,Naperville,48
1255.04,124.75,0.0,7.51,47.22,77.19,Carson,125
223.64,3.17,55.79,0.44,3.54,6.39,The Villages,47
240.33,3.34,28.97,0.53,0.5,0.56,Knoxville,24
313.76,7.97,41.84,1.21,2.14,2.2,Franklin,35
260.35,4.63,49.35,0.57,2.9,4.18,Bismarck,41
320.44,13.2,19.13,1.57,1.35,2.52,Vancouver,16
320.44,10.37,41.13,0.49,6.08,6.47,Lansing,34
373.84,23.99,1.43,0.77,4.62,5.47,Gresham,29
410.56,22.28,23.6,0.47,7.87,7.99,Dayton,27
303.75,7.88,58.65,1.09,2.9,3.61,Missouri City,49
947.95,52.09,0.0,3.34,34.35,51.93,Clifton,87
347.14,10.11,34.33,0.77,5.91,8.04,Virginia Beach,29
390.53,25.02,0.75,0.41,8.19,10.3,Davis,31
185.25,0.25,43.27,0.08,1.67,3.4,Ponce,36
534.06,59.63,2.35,1.1,13.41,25.72,Corona,74
270.37,1.89,70.1,0.09,2.06,2.45,North Richland Hills,84
380.52,23.65,12.34,2.65,10.52,13.79,Walnut Creek,34
357.15,22.28,20.03,4.23,8.51,11.42,Berkeley,27
353.81,12.0,35.41,1.49,5.39,5.43,Mount Vernon,30
327.11,13.37,47.21,0.29,4.85,5.85,Norman,40
223.64,1.48,39.34,0.05,0.5,0.59,Eugene,33
397.21,9.08,41.13,82.97,48.95,50.78,Syracuse,117
300.41,16.45,47.21,3.99,4.72,5.45,Ann Arbor,40
203.61,0.62,83.69,0.26,3.45,10.95,Flagstaff,121
230.31,2.74,70.1,3.25,10.0,20.41,Rio Rancho,84
247.0,2.59,47.92,2.27,1.06,1.42,Baton Rouge,40
327.11,14.22,45.42,3.64,6.77,8.14,Aurora,38
240.33,3.3,67.23,0.05,2.5,3.28,Santa Fe,75
290.39,11.82,64.37,4.89,6.12,7.08,Lee's Summit,66
320.44,31.19,23.6,0.55,7.93,24.91,Pasadena,38
413.9,16.28,17.17,0.18,4.29,4.35,Bloomington,20
240.33,9.25,45.78,0.78,3.01,5.44,Alafaya,38
373.84,24.33,25.03,4.89,7.39,8.45,Detroit,30
