CO,NO2,O3,SO2,PM2.5,PM10,city,overall_aqi
211.95,0.87,60.8,0.19,4.05,6.99,Gainesville,55
233.65,4.11,74.39,0.64,2.24,3.01,Longmont,98
313.76,12.68,57.94,1.7,3.83,4.98,Dallas,49
257.02,1.99,44.7,0.07,0.5,0.62,Marysville,37
410.56,23.31,16.81,2.03,7.2,7.54,Gaithersburg,29
216.96,1.97,60.8,0.21,2.54,4.2,Savannah,55
343.8,19.19,31.83,3.87,12.01,14.39,Reading,38
433.92,26.73,12.7,2.8,8.7,9.21,Glen Burnie,33
293.73,4.93,52.93,0.2,4.83,5.05,Kalamazoo,44
236.99,5.74,57.94,0.74,4.11,6.9,Tampa,49
247.0,2.87,41.84,0.26,0.5,0.57,Bellingham,35
263.69,16.97,43.63,0.28,5.12,17.09,Baldwin Park,36
267.03,2.46,74.39,2.12,3.54,3.92,Olathe,98
297.07,5.83,50.78,0.71,1.64,1.76,Hoover,43
640.87,56.21,0.03,2.0,20.06,36.41,Fullerton,70
323.77,15.42,34.33,2.59,12.04,13.78,Kent,39
216.96,1.86,50.78,0.53,1.38,1.75,Raleigh,43
250.34,9.08,72.96,0.53,3.2,11.61,Rialto,93
287.06,3.3,52.21,0.07,2.94,3.18,Appleton,44
447.27,47.98,2.62,6.44,14.06,18.57,Daly City,59
253.68,4.97,35.76,0.27,3.01,3.07,Roanoke,30
253.68,8.4,47.92,2.62,7.86,9.93,Manchester,40
1255.04,124.75,0.0,7.51,47.22,77.19,Torrance,125
263.69,3.51,45.42,1.0,1.89,2.21,Auburn,38
340.46,17.99,32.9,0.46,7.18,15.16,Mesa,27
1068.12,64.43,0.0,3.7,38.39,63.35,Whittier,95
267.03,1.59,61.51,0.12,2.28,2.44,Beaumont,57
223.64,3.43,62.94,0.66,4.17,6.63,Largo,62
236.99,5.66,62.23,0.97,3.68,4.82,Loveland,60
1081.47,54.84,0.0,4.05,64.09,77.03,San Jose,147
297.07,17.99,28.97,1.49,6.74,16.74,Coral Springs,24
226.97,2.87,40.41,0.41,1.24,1.36,High Point,34
297.07,7.03,59.37,2.24,3.81,4.85,Evanston,51
300.41,5.14,48.64,0.32,2.04,2.11,Tuscaloosa,41
213.62,2.16,42.56,0.35,1.53,1.65,Greenville,36
283.72,5.66,32.54,0.1,1.06,1.13,Chattanooga,27
210.29,1.99,47.92,1.46,0.5,0.61,Macon,40
270.37,5.91,42.56,0.4,3.66,3.68,Lynchburg,36
230.31,3.38,30.76,0.23,0.88,0.92,Winston-Salem,26
380.52,18.68,26.82,0.05,7.12,8.02,Yakima,23
407.22,31.19,9.39,1.36,8.4,8.55,Cleveland,38
357.15,19.02,12.16,0.61,3.27,4.97,Federal Way,23
260.35,4.07,43.99,1.73,2.07,2.4,Kenner,37
320.44,31.19,23.6,0.55,7.93,24.91,East Los Angeles,38
267.03,2.66,55.08,0.14,1.09,1.25,Meridian,46
253.68,1.01,70.1,0.06,2.61,3.32,San Marcos,84
223.64,2.42,76.53,2.18,8.47,21.18,Albuquerque,103
253.68,7.11,72.24,0.16,4.48,16.95,Victorville,91
330.45,18.17,31.11,5.6,17.42,20.88,Waldorf,54
303.75,5.44,50.78,0.76,7.21,8.07,Madison,43
487.33,35.99,4.2,0.83,14.91,18.28,Woodbury,48
267.03,1.61,67.95,0.39,2.34,2.56,Denton,77
447.27,54.84,3.71,1.07,12.39,33.05,Hollywood,68
373.84,19.88,30.4,4.17,9.94,11.57,Palatine,32
